iter	MultiClass
0	1.442279745
1	1.226033819
2	1.08695589
3	0.971631371
4	0.8825438789
5	0.8090548116
6	0.7500406974
7	0.6981293771
8	0.642981931
9	0.6043311461
10	0.5670525314
11	0.5322882093
12	0.4958674507
13	0.46966281
14	0.4408467918
15	0.421549132
16	0.402266788
17	0.3816409495
18	0.3639646087
19	0.3474839843
20	0.3345745654
21	0.3137375636
22	0.3025105293
23	0.2883767795
24	0.2786066538
25	0.267679555
26	0.2557034771
27	0.2461412001
28	0.2377579947
29	0.2330848956
30	0.2264609222
31	0.2197828071
32	0.2119285256
33	0.206553653
34	0.2021484144
35	0.197445901
36	0.1945085585
37	0.1903098824
38	0.1845375113
39	0.1828307295
40	0.1808237325
41	0.176820845
42	0.1728164417
43	0.1675646592
44	0.163141628
45	0.1602422307
46	0.1571741969
47	0.150347733
48	0.1460716125
49	0.1427107665
50	0.1409795664
51	0.1369273113
52	0.1343127713
53	0.1319442398
54	0.1300225092
55	0.128096079
56	0.1268385188
57	0.1249682745
58	0.122812526
59	0.1205467242
60	0.1189461818
61	0.115597425
62	0.1141730859
63	0.1131404149
64	0.1116599321
65	0.1087709764
66	0.1066346183
67	0.1057644124
68	0.104597704
69	0.1023709356
70	0.1007008671
71	0.09941875884
72	0.09725950813
73	0.09581417041
74	0.09361460433
75	0.0922671511
76	0.09059855734
77	0.08978690167
78	0.08818571409
79	0.08742073871
80	0.0861533299
81	0.08440456175
82	0.08369279033
83	0.08185147063
84	0.08078066527
85	0.07990258207
86	0.078833546
87	0.07815875668
88	0.07672665835
89	0.07587419406
90	0.07473837715
91	0.07394415538
92	0.07366349635
93	0.07325582498
94	0.0724394194
95	0.07202632727
96	0.07076455826
97	0.0699845434
98	0.069101762
99	0.06852031342
100	0.06793193405
101	0.06714635149
102	0.06679591216
103	0.06545615111
104	0.06481847301
105	0.06414401698
106	0.06309476993
107	0.06252868335
108	0.06161560572
109	0.06127622718
110	0.06067427641
111	0.05958244629
112	0.05848141621
113	0.05773004218
114	0.05736761699
115	0.05708475513
116	0.05623876079
117	0.05576196852
118	0.05483783652
119	0.05444636859
120	0.05374286484
121	0.05330718897
122	0.0529339298
123	0.05253914376
124	0.05197575965
125	0.05155909967
126	0.05129476929
127	0.0511547831
128	0.05062769158
129	0.05042525564
130	0.04988697813
131	0.04959165998
132	0.04909365684
133	0.04873290467
134	0.04848377285
135	0.04762234728
136	0.04725533857
